Location,Day,Sale Hour,Sales
489,3/29/21,10,16428.0
489,3/29/21,11,20832.0
489,3/29/21,12,29720.0
489,3/29/21,13,26098.0
489,3/29/21,14,21395.0
489,3/29/21,15,16876.0
489,3/29/21,16,14223.0
489,3/29/21,17,22377.0
489,3/29/21,18,17869.0
489,3/29/21,19,10244.0
489,3/29/21,20,4879.0
489,3/29/21,21,1502.0
489,3/29/21,22,80.0
489,3/29/21,23,0.0
489,3/30/21,0,0.0
489,3/30/21,1,0.0
489,3/30/21,2,0.0
489,3/30/21,3,0.0
489,3/30/21,4,0.0
489,3/30/21,5,0.0
489,3/30/21,6,4643.0
489,3/30/21,7,6006.0
489,3/30/21,8,12523.0
489,3/30/21,9,20315.0
489,3/30/21,10,21375.0
489,3/30/21,11,18979.0
489,3/30/21,12,25822.0
489,3/30/21,13,23866.0
489,3/30/21,14,18607.0
489,3/30/21,15,18298.0
489,3/30/21,16,18206.0
489,3/30/21,17,21355.0
489,3/30/21,18,12986.0
489,3/30/21,19,9501.0
489,3/30/21,20,6009.0
489,3/30/21,21,900.0
489,3/30/21,22,0.0
489,3/30/21,23,0.0
489,3/31/21,0,0.0
489,3/31/21,1,10.0
489,3/31/21,2,0.0
489,3/31/21,3,0.0
489,3/31/21,4,1.0
489,3/31/21,5,63.0
489,3/31/21,6,3001.0
489,3/31/21,7,4784.0
489,3/31/21,8,6987.0
489,3/31/21,9,12451.0
489,3/31/21,10,18389.0
489,3/31/21,11,22472.0
489,3/31/21,12,14907.0
489,3/31/21,13,16784.0
489,3/31/21,14,18017.0
489,3/31/21,15,16428.0
489,3/31/21,16,22282.0
489,3/31/21,17,25062.0
489,3/31/21,18,13228.0
489,3/31/21,19,14792.0
489,3/31/21,20,7681.0
489,3/31/21,21,722.0
489,3/31/21,22,0.0
489,3/31/21,23,19.0
489,4/1/21,0,0.0
489,4/1/21,1,0.0
489,4/1/21,2,0.0
489,4/1/21,3,0.0
489,4/1/21,4,0.0
489,4/1/21,5,0.0
489,4/1/21,6,7251.0
489,4/1/21,7,9690.0
489,4/1/21,8,17854.0
489,4/1/21,9,19168.0
489,4/1/21,10,19830.0
489,4/1/21,11,37820.0
489,4/1/21,12,23173.0
489,4/1/21,13,19478.0
489,4/1/21,14,30806.0
489,4/1/21,15,36884.0
489,4/1/21,16,11322.0
489,4/1/21,17,44485.0
489,4/1/21,18,14576.0
489,4/1/21,19,12313.0
489,4/1/21,20,6586.0
489,4/1/21,21,5055.0
489,4/1/21,22,3.0
489,4/1/21,23,0.0
489,4/2/21,0,0.0
489,4/2/21,1,0.0
489,4/2/21,2,0.0
489,4/2/21,3,0.0
489,4/2/21,4,0.0
489,4/2/21,5,1049.0
489,4/2/21,6,3007.0
489,4/2/21,7,15162.0
489,4/2/21,8,13356.0
489,4/2/21,9,15458.0
489,4/2/21,10,25260.0
489,4/2/21,11,24563.0
489,4/2/21,12,30323.0
489,4/2/21,13,59988.0
489,4/2/21,14,23924.0
489,4/2/21,15,32677.0
489,4/2/21,16,28553.0
489,4/2/21,17,64140.0
489,4/2/21,18,24301.0
489,4/2/21,19,12064.0
489,4/2/21,20,2172.0
489,4/2/21,21,3610.0
489,4/2/21,22,293.0
489,4/2/21,23,50.0
489,4/3/21,0,0.0
489,4/3/21,1,0.0
489,4/3/21,2,0.0
489,4/3/21,3,0.0
489,4/3/21,4,0.0
489,4/3/21,5,0.0
489,4/3/21,6,2289.0
489,4/3/21,7,2415.0
489,4/3/21,8,9687.0
489,4/3/21,9,17481.0
489,4/3/21,10,27904.0
489,4/3/21,11,39142.0
489,4/3/21,12,38214.0
489,4/3/21,13,52538.0
489,4/3/21,14,46112.0
489,4/3/21,15,45356.0
489,4/3/21,16,35948.0
489,4/3/21,17,24150.0
489,4/3/21,18,17855.0
489,4/3/21,19,10931.0
489,4/3/21,20,6336.0
489,4/3/21,21,2148.0
489,4/3/21,22,1.0
489,4/3/21,23,582.0
489,4/4/21,0,0.0
489,4/4/21,1,0.0
489,4/4/21,2,0.0
489,4/4/21,3,0.0
489,4/4/21,4,0.0
489,4/4/21,5,0.0
489,4/4/21,6,0.0
489,4/4/21,7,0.0
489,4/4/21,8,0.0
489,4/4/21,9,0.0
489,4/4/21,10,0.0
489,4/4/21,11,0.0
489,4/4/21,12,0.0
489,4/4/21,13,0.0
489,4/4/21,14,0.0
489,4/4/21,15,0.0
489,4/4/21,16,0.0
489,4/4/21,17,0.0
489,4/4/21,18,0.0
489,4/4/21,19,0.0
489,4/4/21,20,0.0
489,4/4/21,21,0.0
489,4/4/21,22,0.0
489,4/4/21,23,0.0
489,4/5/21,0,0.0
489,4/5/21,1,0.0
489,4/5/21,2,0.0
489,4/5/21,3,0.0
489,4/5/21,4,243.0
489,4/5/21,5,0.0
489,4/5/21,6,7656.0
489,4/5/21,7,5287.0
489,4/5/21,8,18049.0
489,4/5/21,9,15676.0
489,4/5/21,10,33255.0
489,4/5/21,11,31917.0
