Location,Day,Sale Hour,Sales $
489,2/15/21,17,26135
489,2/15/21,18,6504
489,2/15/21,19,11463
489,2/15/21,20,1821
489,2/15/21,21,160
489,2/16/21,1,8
489,2/16/21,3,21
489,2/16/21,4,0
489,2/16/21,5,0
489,2/16/21,6,1777
489,2/16/21,7,4923
489,2/16/21,8,29326
489,2/16/21,9,14170
489,2/16/21,10,9706
489,2/16/21,11,14027
489,2/16/21,12,20497
489,2/16/21,13,26330
489,2/16/21,14,19694
489,2/16/21,15,17991
489,2/16/21,16,20375
489,2/16/21,17,9418
489,2/16/21,18,4749
489,2/16/21,19,6950
489,2/16/21,20,4741
489,2/16/21,21,153
489,2/17/21,4,449
489,2/17/21,5,10
489,2/17/21,6,6132
489,2/17/21,7,6586
489,2/17/21,8,5866
489,2/17/21,9,10549
489,2/17/21,10,15967
489,2/17/21,11,19714
489,2/17/21,12,5478
489,2/17/21,13,29665
489,2/17/21,14,41226
489,2/17/21,15,14377
489,2/17/21,16,11314
489,2/17/21,17,10697
489,2/17/21,18,12312
489,2/17/21,19,6333
489,2/17/21,20,7613
489,2/17/21,21,625
489,2/17/21,22,6
489,2/18/21,5,7
489,2/18/21,6,2362
489,2/18/21,7,10851
489,2/18/21,8,6576
489,2/18/21,9,6384
489,2/18/21,10,18750
489,2/18/21,11,13889
489,2/18/21,12,8446
489,2/18/21,13,10468
489,2/18/21,14,10463
489,2/18/21,15,14297
489,2/18/21,16,6872
489,2/18/21,17,5766
489,2/18/21,18,3545
489,2/18/21,19,5426
489,2/18/21,20,7119
489,2/18/21,21,333
489,2/19/21,0,0
489,2/19/21,1,2
489,2/19/21,4,15
489,2/19/21,5,24
489,2/19/21,6,1520
489,2/19/21,7,3209
489,2/19/21,8,6025
489,2/19/21,9,16232
489,2/19/21,10,9581
489,2/19/21,11,22962
489,2/19/21,12,44999
489,2/19/21,13,21731
489,2/19/21,14,16350
489,2/19/21,15,21703
489,2/19/21,16,14508
489,2/19/21,17,16889
489,2/19/21,18,13604
489,2/19/21,19,7552
489,2/19/21,20,9148
489,2/19/21,21,1240
489,2/19/21,22,2
489,2/20/21,1,18
489,2/20/21,5,8
489,2/20/21,6,3209
